# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
55062.31313	0.35299838	1.000024	0.000314	1.018437	0.000331	0.999801	0.000314
55062.31381	0.35301496	0.999828	0.000314	1.018234	0.000331	0.999605	0.000314
55062.31449	0.35303154	1.000034	0.000314	1.018448	0.000331	0.999811	0.000314
55062.31517	0.35304813	1.000668	0.000314	1.019107	0.000331	1.000445	0.000314
55062.31585	0.35306471	1.000507	0.000314	1.018941	0.000331	1.000284	0.000314
55062.31653	0.35308129	0.999983	0.000314	1.018397	0.000331	0.99976	0.000314
55062.31722	0.35309787	1.000505	0.000314	1.018939	0.000331	1.000282	0.000314
55062.3179	0.35311445	1.000225	0.000314	1.018649	0.000331	1.000002	0.000314
55062.31858	0.35313103	1.000066	0.000314	1.018484	0.000331	0.999843	0.000314
55062.31926	0.35314761	1.000367	0.000314	1.018797	0.000331	1.000144	0.000314
55062.31994	0.3531642	1.000521	0.000314	1.018957	0.000331	1.000298	0.000314
55062.32062	0.35318078	1.000084	0.000314	1.018503	0.000331	0.999861	0.000314
55062.3213	0.35319736	1.000366	0.000314	1.018796	0.000331	1.000143	0.000314
55062.32198	0.35321394	0.999597	0.000314	1.017998	0.00033	0.999375	0.000314
55062.32266	0.35323052	1.000264	0.000314	1.018691	0.00033	1.000041	0.000314
55062.32335	0.3532471	1.00016	0.000314	1.018582	0.00033	0.999938	0.000314
55062.32403	0.35326368	0.999633	0.000314	1.018034	0.00033	0.99941	0.000314
55062.32471	0.35328026	1.00045	0.000314	1.018883	0.00033	1.000228	0.000314
55062.32539	0.35329684	0.999906	0.000314	1.018318	0.00033	0.999684	0.000314
55062.32607	0.35331342	1.000496	0.000314	1.018931	0.00033	1.000274	0.000314
55062.32675	0.35333001	1.000233	0.000314	1.018657	0.00033	1.000011	0.000314
55062.32743	0.35334659	1.000116	0.000314	1.018535	0.00033	0.999894	0.000314
